NFT Name,Count,%Area,Perimeter,Major,Minor,Angle,Circularity,Integrated density,Skewness,Kurtosis
Fingerprint #1641,20,10.14900,784.07600,122.43554,36.26679,92.25524,0.24092,1194534.85000,-1.88813,3.00997
Fingerprint #1642,14,10.26120,1074.93052,90.42101,32.66158,71.92399,0.39905,1727661.28571,-1.18926,0.78998
Fingerprint #1643,20,10.21300,703.46673,137.69678,31.29870,130.42593,0.23904,1200694.55000,-2.08795,3.29458
Fingerprint #1644,25,10.16360,626.94958,124.01677,26.26403,121.11201,0.25604,956164.72000,-1.83675,2.62538
Fingerprint #1645,16,10.17170,882.60094,129.13331,38.15239,121.23545,0.24049,1495093.06250,-2.12182,3.52405
Fingerprint #1646,17,10.12340,849.04156,125.48441,35.52449,90.01802,0.29507,1401164.52941,-1.77421,2.60093
Fingerprint #1647,16,10.15340,919.63828,131.14249,40.60258,123.60888,0.22835,1492344.31250,-2.02686,3.24236
Fingerprint #1648,9,10.26140,1661.47635,172.51049,64.63508,143.81372,0.09861,2685062.11111,-2.16996,3.76913
Fingerprint #1649,14,10.19320,1067.87528,157.79743,43.78157,131.09719,0.14831,1713425.92857,-2.12061,3.55020
Fingerprint #1650,26,10.11130,564.74982,104.55139,25.84468,116.86072,0.36573,914996.84615,-1.67365,2.25828
Fingerprint #1651,12,10.16790,1273.97900,156.68074,55.18329,39.34599,0.18405,1991840.91667,-2.28890,4.08522
Fingerprint #1652,14,10.22620,1055.32175,131.71292,39.90940,101.99313,0.27780,1718666.35714,-1.92898,3.13203
Fingerprint #1653,11,10.19750,1249.18894,157.63592,54.85557,112.44330,0.14128,2181382.72727,-2.10052,3.39363
Fingerprint #1654,16,10.20230,926.86285,169.14125,38.30798,125.31002,0.18121,1500850.43750,-2.34492,4.34432
Fingerprint #1655,17,10.23200,773.02014,117.42586,33.91654,94.32931,0.35118,1417233.17647,-1.82488,2.63387
Fingerprint #1656,26,10.05460,557.02152,136.59282,26.23173,115.26751,0.27289,909602.42308,-2.05850,3.42534
Fingerprint #1657,15,10.14230,981.35370,127.02903,47.26730,92.46661,0.28069,1591504.00000,-1.88047,3.07232
Fingerprint #1658,13,10.16050,1162.80587,141.26822,47.42114,108.72786,0.19922,1838655.46154,-1.93869,3.02596
Fingerprint #1659,23,10.14740,688.98682,148.04557,29.05433,135.66986,0.23561,1037806.86957,-2.10470,3.54609
Fingerprint #1660,19,10.17180,782.05280,146.31717,36.38366,103.65372,0.20868,1259729.42105,-2.08587,3.49432
Fingerprint #1661,19,10.19000,824.17105,150.11460,30.74637,115.48389,0.26564,1261972.00000,-2.02405,3.35229
Fingerprint #1662,16,10.17410,992.14182,165.82266,38.53014,138.41742,0.16067,1496101.43750,-2.25002,4.00580
Fingerprint #1663,8,10.19310,1899.40135,125.10903,54.88031,73.84845,0.33225,3000343.00000,-1.35110,1.49357
Fingerprint #1664,16,10.15060,931.26710,127.64528,44.51012,82.86766,0.18769,1493274.56250,-2.17970,3.73715
Fingerprint #1665,16,10.20440,896.30132,138.14485,39.06820,60.62301,0.20321,1501900.25000,-2.12717,3.51449
Fingerprint #1666,23,10.16160,660.49381,134.66744,26.50774,122.20360,0.31768,1039353.78261,-1.80263,2.69306
Fingerprint #1667,18,10.16430,806.60108,147.87507,31.66155,119.37151,0.26417,1327719.50000,-1.98566,3.08950
Fingerprint #1668,17,10.17240,913.29365,158.12432,34.66487,132.95599,0.21388,1407635.64706,-2.16131,3.63919
Fingerprint #1669,16,10.10160,929.43768,131.99292,39.62135,75.21639,0.26087,1484748.62500,-1.96074,2.98556
Fingerprint #1670,9,10.18180,1732.23155,138.69280,56.06399,106.11261,0.23606,2662275.44444,-1.94227,3.09009
Fingerprint #1671,15,10.13310,973.88129,132.01921,45.64141,112.56314,0.15582,1587108.73333,-1.97833,2.99756
Fingerprint #1672,20,10.17350,753.36760,138.84084,34.35280,114.61002,0.23849,1197032.55000,-2.23936,3.91444
